Team,3rdDwnConv,4thDwnConv,3rdDwnAll,NY/A,OPointsPerYard,DPointsPerYard,TotalPPY
Buffalo Bills,50.3,53.8,37.5,6.8,13.98,17.85,3.87
Los Angeles Rams,39.3,78.9,40.4,5.3,15.53,15.1,-0.43
New Orleans Saints,40.2,36.4,41.6,6.7,17.19,15.51,-1.68
Atlanta Falcons,41.8,50.0,45.9,6.0,14.84,15.95,1.11
Cleveland Browns,38.1,54.8,39.5,5.9,16.44,14.78,-1.66
Carolina Panthers,31.7,57.1,41.1,6.1,15.0,15.92,0.92
San Francisco 49ers,45.0,41.2,39.0,7.1,13.81,18.45,4.64
Chicago Bears,40.9,32.0,49.0,5.1,16.05,13.8,-2.25
Pittsburgh Steelers,44.9,73.3,39.4,5.6,17.81,16.23,-1.58
Cincinnati Bengals,46.1,25.0,39.6,6.5,13.8,16.68,2.88
Kansas City Chiefs,48.7,75.0,38.3,7.5,14.18,15.12,0.94
Arizona Cardinals,35.2,43.9,42.9,5.1,16.17,13.21,-2.96
Tampa Bay Buccaneers,37.4,55.6,36.9,5.9,18.83,15.4,-3.43
Dallas Cowboys,45.5,52.6,37.7,6.4,12.92,16.41,3.49
Philadelphia Eagles,45.9,68.8,38.6,7.1,13.87,14.9,1.03
Detroit Lions,40.8,54.1,45.1,7.0,14.26,15.62,1.36
Indianapolis Colts,32.9,46.2,37.9,5.2,18.33,13.3,-5.03
Houston Texans,30.3,50.0,38.9,5.4,16.68,15.36,-1.32
New England Patriots,34.9,38.5,40.2,6.1,14.69,15.78,1.09
Miami Dolphins,36.2,54.2,41.6,7.3,15.61,14.39,-1.22
Green Bay Packers,39.5,38.7,37.6,6.1,15.53,15.42,-0.11
Minnesota Vikings,41.2,47.4,38.1,6.2,14.49,15.48,0.99
Baltimore Ravens,41.7,40.0,34.9,5.8,16.46,17.5,1.04
New York Jets,34.6,39.3,38.1,5.6,18.27,16.73,-1.54
New York Giants,36.8,47.6,35.1,5.5,15.55,16.41,0.86
Tennessee Titans,36.5,52.9,34.2,5.8,16.93,16.65,-0.28
Las Vegas Raiders,39.9,54.2,41.7,6.3,15.17,14.87,-0.3
Los Angeles Chargers,43.6,51.7,39.2,6.1,15.62,15.32,-0.3
Jacksonville Jaguars,41.9,51.9,43.2,6.3,15.04,17.16,2.12
Washington Commanders,35.2,48.0,31.9,5.8,17.49,15.1,-2.39
